Exp_name, solver, sols, solver_time_mean, total_time_mean, block,  block(2nd calc) , avg_block, solver_calls, solver_err, sr_err, how_many?, solver_v_best, total_v_best, block_total_v, file_size, nodes, satv, satc
hu_gen_lymph_40,minion D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
hu_gen_lymph_40,nbc D+I,4181,5.091666666666664,50.33858076731364,89209.0,18132.0,3304.037037037037,27.0,0.07277438499301228,2.935115813451718,6,4.879999999999997,43.38709568977356,89209.0,340677.5,38713.0,1574.0,31072.0
hu_gen_lymph_40,nbc_compressed D+I,4181,6.226666666666664,81.23543389638265,89209.0,18132.0,3304.037037037037,27.0,0.24340181684704956,2.432945488942636,3,5.759999999999996,77.20958638191223,89209.0,1385279.3333333333,36612.0,3518.6666666666665,36934.0
hu_gen_lymph_50,glucose D+I,1044,82.26922633333325,1029.4339220523834,565749.0,545490.0,24597.782608695652,23.0,1.249546778002478,129.74647734046093,3,80.70708899999994,773.9852628707886,565749.0,-1.0,nan,nan,nan
hu_gen_lymph_50,glucose D,1989,196.72924133333322,988.0909386475881,1979055.0,nan,994.5,1990.0,4.457833985687075,704.3868952232799,3,188.41929600000032,280.2541642189026,1979055.0,-1.0,nan,nan,nan
hu_gen_lymph_50,minion D+I,1044,8.224852,37.64369988441467,20259.0,3555.0,880.8260869565217,23.0,0.06632600000000011,4.770366668701172,2,8.158526,32.8733332157135,20259.0,167023.0,28031.0,0.0,0.0
hu_gen_lymph_50,minion_compressed D+I,1044,22.316165,64.24726438522339,20259.0,3555.0,880.8260869565217,23.0,nan,nan,1,22.316165,64.24726438522339,20259.0,308496.0,27978.0,0.0,0.0
hu_gen_lymph_50,minion D,1044,563.3159339999999,629.9273028373718,545490.0,nan,522.0,1045.0,nan,nan,1,563.3159339999999,629.9273028373718,545490.0,-1.0,nan,nan,nan
hu_gen_lymph_50,nbc D+I,1044,1.341666666666667,32.09493045012156,20259.0,3555.0,880.8260869565219,23.0,0.03390345770632317,4.474489490552622,6,1.2700000000000002,21.679219722747803,20259.0,252204.5,10296.0,1481.0,25307.0
hu_gen_lymph_50,nbc_compressed D+I,1044,1.5833333333333337,50.37561543782552,20259.0,3555.0,880.8260869565216,23.0,0.09735387911006829,1.3305323230342154,3,1.3900000000000003,47.77994680404663,20259.0,675773.6666666666,10728.0,1898.0,26560.666666666668
