Exp_name, sols, solver_calls, total_blocking_clauses_in calls, best_case_nonincomp
hu_disc_mining__tumor_30_minion_46934,19,15,69,190
relevant_subgroups__zoo_30_nbc_72020,62,16,282,1953
relevant_subgroups__german_30_minion_81241,179,35,976,16110
hu_disc_mining__zoo_10_minion_93554,4955,16,31883,12278490
hu_disc_mining__vote_20_minion_9877,5,16,10,15
relevant_subgroups__tumor_40_minion_65103,39,14,147,780
hu_disc_mining__vote_10_nbc_25967,723,16,2595,261726
relevant_subgroups__zoo_30_minion_38362,62,16,282,1953
relevant_subgroups__vote_10_minion_36787,2523,16,9778,3184026
hu_disc_mining__zoo_30_minion_5558,5,15,17,15
hu_disc_mining__lymph_10_nbc_97490,115,27,1490,6670
hu_disc_mining__tumor_20_nbc_89655,538,15,2352,144991
relevant_subgroups__hepatit_50_minion_10211,217,23,431,23653
relevant_subgroups__aus_20_nbc_88576,2,51,33,3
relevant_subgroups__anneal_50_minion_71240,124,33,2140,7750
relevant_subgroups__tumor_20_minion_70472,2186,15,10398,2390391
relevant_subgroups__hepatit_50_minion_87063,217,23,431,23653
relevant_subgroups__hepatit_30_nbc_27156,1,34,9,1
relevant_subgroups__tumor_30_minion_38528,348,15,1483,60726
hu_disc_mining__anneal_20_nbc_83692,19,42,450,190
hu_disc_mining__lymph_40_minion_95141,11,17,53,66
relevant_subgroups__lymph_50_nbc_55625,230,15,1105,26565
relevant_subgroups__anneal_50_nbc_28815,124,33,2140,7750
hu_disc_mining__lymph_20_minion_27372,331,27,2882,54946
relevant_subgroups__lymph_30_nbc_90109,1147,27,8154,658378
relevant_subgroups__heart_20_minion_49706,148,45,1772,11026
hu_disc_mining__lymph_40_nbc_31834,11,17,53,66
hu_disc_mining__tumor_40_minion_52213,1,14,3,1
relevant_subgroups__anneal_40_nbc_7624,230,40,4401,26565
hu_disc_mining__anneal_40_nbc_76930,15,39,267,120
hu_disc_mining__zoo_30_nbc_94100,5,15,17,15
hu_disc_mining__aus_10_nbc_77640,2179,51,40710,2375110
relevant_subgroups__tumor_10_minion_96190,2173,15,12190,2362051
relevant_subgroups__aus_50_nbc_31989,10,30,46,55
hu_disc_mining__lymph_40_nbc_9206,11,17,53,66
hu_disc_mining__tumor_20_nbc_3115,538,15,2352,144991
relevant_subgroups__german_40_minion_28132,4,27,14,10
relevant_subgroups__tumor_20_minion_73576,2186,15,10398,2390391
relevant_subgroups__audio_20_minion_76904,147,67,8043,10878
relevant_subgroups__audio_20_nbc_64688,147,67,8043,10878
relevant_subgroups__aus_50_nbc_70514,10,30,46,55
relevant_subgroups__tumor_10_minion_70584,2173,15,12190,2362051
relevant_subgroups__hepatit_40_minion_91890,112,31,515,6328
relevant_subgroups__zoo_40_minion_19140,3,15,10,6
relevant_subgroups__hepatit_40_minion_25193,112,31,515,6328
relevant_subgroups__zoo_20_minion_26723,814,16,4806,331705
hu_disc_mining__anneal_20_nbc_37340,19,42,450,190
hu_disc_mining__hepatit_10_nbc_55753,21,34,365,231
relevant_subgroups__tumor_40_nbc_38766,39,14,147,780
hu_disc_mining__german_10_nbc_82660,3,38,30,6
hu_disc_mining__anneal_10_nbc_71030,143,42,4055,10296
hu_disc_mining__tumor_10_nbc_4679,1006,15,5537,506521
relevant_subgroups__tumor_30_nbc_5982,348,15,1483,60726
relevant_subgroups__lymph_30_minion_62811,1147,27,8154,658378
relevant_subgroups__audio_20_nbc_29306,147,67,8043,10878
hu_disc_mining__vote_20_nbc_85992,5,16,10,15
relevant_subgroups__german_40_nbc_20163,4,27,14,10
relevant_subgroups__heart_30_nbc_12880,83,45,647,3486
hu_disc_mining__vote_10_nbc_45581,723,16,2595,261726
hu_disc_mining__zoo_30_minion_63592,5,15,17,15
relevant_subgroups__tumor_50_minion_53380,2,13,7,3
hu_disc_mining__anneal_10_nbc_2209,143,42,4055,10296
relevant_subgroups__heart_40_minion_47927,22,40,118,253
hu_disc_mining__zoo_20_nbc_89493,248,16,1444,30876
relevant_subgroups__heart_40_minion_71781,22,40,118,253
relevant_subgroups__zoo_40_nbc_95196,3,15,10,6
hu_disc_mining__lymph_20_minion_34800,331,27,2882,54946
relevant_subgroups__lymph_10_minion_94901,636,27,8374,202566
relevant_subgroups__hepatit_50_nbc_29430,217,23,431,23653
hu_disc_mining__audio_20_nbc_7407,9,67,478,45
relevant_subgroups__hepatit_20_minion_13559,1,34,13,1
relevant_subgroups__aus_30_nbc_88888,14,51,157,105
relevant_subgroups__hepatit_10_minion_91978,220,34,3940,24310
relevant_subgroups__heart_10_nbc_80978,150,45,2717,11325
relevant_subgroups__audio_50_nbc_16954,522,60,21547,136503
hu_disc_mining__hepatit_10_minion_88301,21,34,365,231
hu_disc_mining__lymph_10_minion_54660,115,27,1490,6670
hu_disc_mining__lymph_20_nbc_13771,331,27,2882,54946
hu_disc_mining__audio_10_nbc_66098,130,67,7331,8515
hu_disc_mining__hepatit_10_minion_65672,21,34,365,231
relevant_subgroups__aus_30_minion_91596,14,51,157,105
hu_disc_mining__heart_10_nbc_24758,1,45,19,1
relevant_subgroups__heart_30_nbc_83970,83,45,647,3486
relevant_subgroups__german_30_minion_49767,179,35,976,16110
hu_disc_mining__tumor_10_minion_10394,1006,15,5537,506521
relevant_subgroups__lymph_30_nbc_70066,1147,27,8154,658378
relevant_subgroups__lymph_50_minion_23293,230,15,1105,26565
relevant_subgroups__german_40_minion_85983,4,27,14,10
relevant_subgroups__vote_10_minion_95560,2523,16,9778,3184026
relevant_subgroups__hepatit_30_minion_68906,1,34,9,1
hu_disc_mining__tumor_30_minion_57040,19,15,69,190
relevant_subgroups__lymph_40_nbc_90776,364,18,2450,66430
hu_disc_mining__hepatit_10_nbc_64473,21,34,365,231
relevant_subgroups__anneal_50_minion_92213,124,33,2140,7750
relevant_subgroups__lymph_10_minion_21854,636,27,8374,202566
relevant_subgroups__zoo_10_nbc_24305,3957,16,23965,7830903
hu_disc_mining__anneal_30_nbc_89635,1,42,24,1
relevant_subgroups__lymph_50_nbc_7214,230,15,1105,26565
hu_disc_mining__aus_10_nbc_52196,2179,51,40710,2375110
relevant_subgroups__audio_10_nbc_17289,665,67,38158,221445
relevant_subgroups__tumor_20_minion_47761,2186,15,10398,2390391
relevant_subgroups__audio_30_nbc_45770,9,65,461,45
hu_disc_mining__zoo_10_minion_58031,4955,16,31883,12278490
relevant_subgroups__audio_20_minion_31999,147,67,8043,10878
relevant_subgroups__heart_20_minion_9141,148,45,1772,11026
relevant_subgroups__tumor_50_minion_65445,2,13,7,3
relevant_subgroups__vote_10_minion_70870,2523,16,9778,3184026
relevant_subgroups__hepatit_40_nbc_7165,112,31,515,6328
relevant_subgroups__lymph_30_minion_65756,1147,27,8154,658378
relevant_subgroups__vote_30_minion_13560,3,16,8,6
relevant_subgroups__hepatit_50_minion_85590,217,23,431,23653
relevant_subgroups__zoo_40_minion_22227,3,15,10,6
relevant_subgroups__aus_40_minion_68081,12,46,88,78
relevant_subgroups__aus_50_minion_42657,10,30,46,55
hu_disc_mining__zoo_20_minion_72850,248,16,1444,30876
relevant_subgroups__aus_40_minion_2483,12,46,88,78
relevant_subgroups__zoo_10_minion_5259,3957,16,23965,7830903
relevant_subgroups__aus_30_nbc_51410,14,51,157,105
relevant_subgroups__vote_30_nbc_38376,3,16,8,6
relevant_subgroups__lymph_40_minion_11616,364,18,2450,66430
relevant_subgroups__zoo_30_minion_12923,62,16,282,1953
relevant_subgroups__hepatit_20_minion_32721,1,34,13,1
relevant_subgroups__hepatit_30_nbc_82360,1,34,9,1
relevant_subgroups__anneal_40_nbc_89949,230,40,4401,26565
relevant_subgroups__lymph_30_minion_88573,1147,27,8154,658378
relevant_subgroups__lymph_20_minion_28396,1783,27,17006,1590436
hu_disc_mining__lymph_30_nbc_16989,141,27,869,10011
relevant_subgroups__lymph_10_nbc_41313,636,27,8374,202566
relevant_subgroups__hepatit_50_nbc_55462,217,23,431,23653
hu_disc_mining__lymph_30_minion_45380,141,27,869,10011
relevant_subgroups__tumor_30_minion_51145,348,15,1483,60726
hu_disc_mining__lymph_30_nbc_91039,141,27,869,10011
relevant_subgroups__lymph_10_nbc_47567,636,27,8374,202566
relevant_subgroups__heart_20_nbc_43793,148,45,1772,11026
relevant_subgroups__german_40_nbc_73870,4,27,14,10
hu_disc_mining__zoo_20_nbc_71815,248,16,1444,30876
relevant_subgroups__tumor_50_nbc_91650,2,13,7,3
relevant_subgroups__tumor_40_nbc_75116,39,14,147,780
relevant_subgroups__tumor_40_minion_29675,39,14,147,780
